"0","Classic Pancakes","""[""""1 1/2 c. all-purpose flour"""""," """"3 1/2 tsp. baking powder"""""," """"1 tsp. salt"," """"1 Tbsp. white sugar"," """"1 1/4 c. milk"""""
"65","Blueberries Pancakes","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. blueberries""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in blueberries."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/65","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""blueberries""]"
"66","Poached Egg Wrap with Swiss (66)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded Swiss"", ""1/4 c. Poached eggs"", ""2 Tbsp. diced tomatoes""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/66","Generated","[""flour tortilla"", ""eggs"", ""Swiss"", ""tomatoes""]"
"67","Loaded Whole Wheat Toast with Almond Butter","[""2 slices whole wheat"", ""2 Tbsp. almond butter"", ""1/4 c. honey drizzle""]","[""Toast bread slices."", ""Spread almond butter generously on toast."", ""Top with honey drizzle.""]","www.example-breakfast.com/recipe/67","Generated","[""whole_wheat"", ""almond_butter"", ""honey_drizzle""]"
"68","Blueberry Pineapple Smoothie","[""1/2 c. frozen blueberry"", ""1/2 c. frozen pineapple"", ""1 c. almond milk""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/68","Generated","[""blueberry"", ""pineapple"", ""almond milk""]"
"69","Boiled Egg Wrap with Cheddar (48)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded cheddar"", ""1/4 c. Boiled eggs"", ""2 Tbsp. diced spinach""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/69","Generated","[""flour tortilla"", ""eggs"", ""cheddar"", ""spinach""]"
"70","Blueberries Pancakes (39)","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. blueberries""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in blueberries."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/70","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""blueberries""]"
"71","Mango Blueberry Smoothie","[""1/2 c. frozen mango"", ""1/2 c. frozen blueberry"", ""1 c. coconut water"", ""1 Tbsp. chia seeds""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/71","Generated","[""mango"", ""blueberry"", ""coconut water"", ""chia seeds""]"
"72","Boiled Eggs with Spinach","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. spinach"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Boiled style, adding spinach towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/72","Generated","[""eggs"", ""milk"", ""spinach"", ""butter"", ""salt"", ""pepper""]"
"73","Boiled Eggs with Sausage","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. sausage"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Boiled style, adding sausage towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/73","Generated","[""eggs"", ""milk"", ""sausage"", ""butter"", ""salt"", ""pepper""]"
"74","Scrambled Egg Wrap with Swiss","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded Swiss"", ""1/4 c. Scrambled eggs""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/74","Generated","[""flour tortilla"", ""eggs"", ""Swiss""]"
"75","Scrambled Egg Wrap with Mozzarella","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded mozzarella"", ""1/4 c. Scrambled eggs""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/75","Generated","[""flour tortilla"", ""eggs"", ""mozzarella""]"
"76","Blueberry Mango Smoothie","[""1/2 c. frozen blueberry"", ""1/2 c. frozen mango"", ""1 c. yogurt"", ""1 Tbsp. flax seeds""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/76","Generated","[""blueberry"", ""mango"", ""yogurt"", ""flax seeds""]"
"77","Loaded Rye Toast with Almond Butter","[""2 slices rye"", ""2 Tbsp. almond butter"", ""1/4 c. cinnamon""]","[""Toast bread slices."", ""Spread almond butter generously on toast."", ""Top with cinnamon.""]","www.example-breakfast.com/recipe/77","Generated","[""rye"", ""almond_butter"", ""cinnamon""]"
"78","Boiled Egg Wrap with Mozzarella","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded mozzarella"", ""1/4 c. Boiled eggs"", ""2 Tbsp. diced tomatoes""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/78","Generated","[""flour tortilla"", ""eggs"", ""mozzarella"", ""tomatoes""]"
"79","Spinach (For Green Smoothie) Pineapple Smoothie","[""1/2 c. frozen spinach (for green smoothie)"", ""1/2 c. frozen pineapple"", ""1 c. yogurt""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/79","Generated","[""spinach (for green smoothie)"", ""pineapple"", ""yogurt""]"
"80","Salty Canadian Bacon (29)","[""1/2 lb. Canadian bacon""]","[""Cook Canadian bacon in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/80","Generated","[""Canadian bacon""]"
"81","Pecans Pancakes","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. pecans""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in pecans."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/81","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""pecans""]"
"82","Quick Banana and Almonds Oatmeal (87)","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. banana"", ""1 Tbsp. almonds"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in banana, almonds, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/82","Generated","[""rolled oats"", ""water"", ""banana"", ""almonds"", ""brown sugar""]"
"83","Poached Egg Wrap with Feta","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded feta"", ""1/4 c. Poached eggs"", ""2 Tbsp. diced spinach""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/83","Generated","[""flour tortilla"", ""eggs"", ""feta"", ""spinach""]"
"84","Salty Sausage Patties","[""1/2 lb. sausage patties""]","[""Cook sausage patties in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/84","Generated","[""sausage patties""]"
"85","Salty Sausage Patties (77)","[""1/2 lb. sausage patties""]","[""Cook sausage patties in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/85","Generated","[""sausage patties""]"
"86","Quick Blueberries and Walnuts Oatmeal (95)","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. blueberries"", ""1 Tbsp. walnuts"", ""1 Tbsp. honey""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in blueberries, walnuts, and honey. Serve warm.""]","www.example-breakfast.com/recipe/86","Generated","[""rolled oats"", ""water"", ""blueberries"", ""walnuts"", ""honey""]"
"87","Loaded Whole Wheat Toast with Peanut Butter (55)","[""2 slices whole wheat"", ""2 Tbsp. peanut butter"", ""1/4 c. berries""]","[""Toast bread slices."", ""Spread peanut butter generously on toast."", ""Top with berries.""]","www.example-breakfast.com/recipe/87","Generated","[""whole_wheat"", ""peanut_butter"", ""berries""]"
"88","Poached Eggs with Onions","[""3 large eggs"", ""1 Tbsp. white vinegar"", ""1/4 c. onions"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Bring a pot of water to a simmer. Add vinegar. Gently crack eggs into water and poach for 3-4 minutes."", ""Remove with a slotted spoon. Season and serve.""]","www.example-breakfast.com/recipe/88","Generated","[""eggs"", ""white vinegar"", ""onions"", ""butter"", ""salt"", ""pepper""]"
"89","Banana Slices Waffles (60)","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. banana slices""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in banana slices."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/89","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""banana slices""]"
